,song_id,song_name,billboard,artists,popularity,explicit,song_type
763,48EjSdYh8wz2gBxxqzrsLe,Cranes in the Sky,"('Cranes In The Sky', 'Solange')",{'2auiVi8sUZo17dLy1HwrTU': 'Solange'},62,False,Solo
764,0xwPzLmBAYro8BUz7MrtAo,Make You Miss Me,"('Make You Miss Me', 'Sam Hunt')",{'2kucQ9jQwuD8jWdtR9Ef38': 'Sam Hunt'},67,False,Solo
765,2DHWM8Bm4zuzuH7UOXscJw,LIFTED,"('LIFTED', 'CL')",{'0tzSBCPJZmHTdOA3ZV2mN3': 'CL'},50,False,Solo
766,7zzoxJbgjme3366mOp5UnH,I Took A Pill In Ibiza,"('I Took A Pill In Ibiza', 'Mike Posner')",{'2KsP6tYLJlTBvSUxnwlVWa': 'Mike Posner'},54,True,Solo
767,0BCy325UZyR9z0t0uxwn2N,H.O.L.Y.,"('H.O.L.Y.', 'Florida Georgia Line')",{'3b8QkneNDz4JHKKKlLgYZg': 'Florida Georgia Line'},71,False,Solo
768,5ArQzSBevAdXTxRY6Ulhbq,Mama Said,"('Mama Said', 'Lukas Graham')",{'25u4wHJWxCA9vO0CzxAbK7': 'Lukas Graham'},64,False,Solo
769,3KwwE4sgCzMaKWq6QBebmX,Me Too,"('Me Too', 'Meghan Trainor')",{'6JL8zeS1NmiOftqZTRgdTz': 'Meghan Trainor'},70,False,Solo
770,2GICtNjlmq5w1XIQ9s0D9y,With You Tonight (Hasta El Amanecer),"('With You Tonight / Hasta El Amanecer', 'Nicky Jam')",{'1SupJlEpv7RS2tPNRaHViT': 'Nicky Jam'},49,False,Solo
771,1TGJxtVHgPHKVt6K7sPn1T,You Look Like I Need A Drink,"('You Look Like I Need A Drink', 'Justin Moore')",{'30e8DmahrEamvLbFRPdWmk': 'Justin Moore'},56,False,Solo
772,5kqIPrATaCc2LqxVWzQGbk,7 Years,"('7 Years', 'Lukas Graham')",{'25u4wHJWxCA9vO0CzxAbK7': 'Lukas Graham'},77,False,Solo
773,19W5OTEcQI3ZoRW1HERMyy,Cancer,"('Cancer', 'twenty one pilots')",{'3YQKmKGau1PzlVlkL1iodx': 'Twenty One Pilots'},65,False,Solo
774,4jK1VQQGDnNOLfyVXCxGsR,MY PYT,"('My PYT', 'Wale')",{'67nwj3Y5sZQLl72VNUHEYE': 'Wale'},56,True,Solo
775,6DaE3A1uIvDqVrVSNvUy6B,Grass Ain't Greener,"(""Grass Ain't Greener"", 'Chris Brown')",{'7bXgB6jMjp9ATFy66eO08Z': 'Chris Brown'},59,True,Solo
